VAT_CLASS,VAT_RATE,TOT_VAT_1,TOT_VAT_2,TOT_VAT_3,TOT_VAT_4,TOT_VAT_5,TOT_VAT_6,TOT_VAT_7,T_VAL_EXCLVAT_1,T_VAL_EXCLVAT_2,T_VAL_EXCLVAT_3,T_VAL_EXCLVAT_4,T_VAL_EXCLVAT_5,T_VAL_EXCLVAT_6,T_VAL_EXCLVAT_7
0,0,0,0,0,0,0,0,0,81.17,87.02,66.99,74.38,136.68,68.83,58.66
1,20,89.75,84.53,83.18,103.67,168.27,133.31,93.49,448.75,422.65,415.90,518.35,841.35,666.55,467.45
