PRODNUMB,COMBO,TAKEAWAY,EATIN,WASTE,STAFF,OPTION
3,0,3,0,1,1,0
4,1,1,0,0,0,0
27,0,1,0,0,0,0
29,0,1,0,0,0,0
41,0,1,0,0,0,1
71,0,1,0,0,0,0
82,0,1,0,0,0,0
95,0,1,0,0,0,0
