VAT_CLASS,VAT_RATE,TOT_VAT_1,TOT_VAT_2,TOT_VAT_3,TOT_VAT_4,TOT_VAT_5,TOT_VAT_6,TOT_VAT_7,T_VAL_EXCLVAT_1,T_VAL_EXCLVAT_2,T_VAL_EXCLVAT_3,T_VAL_EXCLVAT_4,T_VAL_EXCLVAT_5,T_VAL_EXCLVAT_6,T_VAL_EXCLVAT_7
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,0.0,12.63,0.0,0.0,0.0,0.0,0.0
