SHOP_CODE,SHOP_NAME,SHOP_ABBREV,FRANCHISEE,FULL_NAME,ADDRESS_1,ADDRESS_2,ADDRESS_3,POST_CODE
8,CARDEN AVE,CA,J Chapman+J Everest LLP,T/A UNCLE SAMS HAMBURGER EXPRESS,197 CARDEN AVENUE,BRIGHTON,EAST SUSSEX,BN1 8LE
15,CRAWLEY,CW,,T/A UNCLE SAMS CRAWLEY,5 FURNACE PARADE,FURNACE GREEN,CRAWLEY,RH10 6NX
