PRODNUMB,PRODNAME,FREE_CHOICE_1,FREE_CHOICE_2
13,KIDS HAMBURGER,26,
71,SIX  BITES,"40,41,42,37,100,111",
72,NINE BITES,"40,41,42,37,100,111",
74,HALLOUMI STICKS,"40,41,42,37,100,111",
92,VEGGIE DE-LUXE,"40,41,42,37,100,111",
94,CHICKEN WRAP,"40,41,42,37,100,111",
95,MOZARELA FINGERS,"40,41,42,37,100,111",
118,KIDS  4  BITES  ,"40,41,42,37,100,111",
